geoid_a,geoid_b,pax_ab,pax_ba,passengers
04013,34013,26492,25289,51781
04019,48439,25405,26069,51474
11001,37119,25846,25420,51266
06073,49035,25691,25550,51241
06059,06081,25787,25334,51121
08031,48113,25365,25531,50896
12081,13063,25009,25508,50517
25025,27053,25572,24707,50279
08031,47037,25298,24854,50152
13063,21015,24913,25195,50108
25025,26163,25014,24888,49902
06001,53033,25164,24589,49753
09003,12095,25583,24133,49716
17031,26081,23882,25509,49391
16001,53033,25076,24201,49277
17031,19155,24337,24758,49095
13051,13063,24183,24909,49092
06001,06059,24647,24352,48999
12057,24003,23170,25778,48948
47037,48439,24697,24223,48920
13063,51710,24402,24430,48832
48113,48453,24276,24136,48412
36081,47037,24584,23715,48299
06037,12011,24588,23487,48075
11001,48201,23685,24320,48005
24003,48201,24228,23700,47928
12099,37119,23980,23889,47869
12095,51107,23669,24069,47738
12095,44003,22820,24223,47043
06037,06073,22225,24605,46830
06085,08031,22463,24289,46752
06037,32031,23429,23039,46468
29189,48439,23388,22934,46322
12033,13063,22706,23471,46177
17031,37183,23173,22904,46077
40109,48201,22734,23039,45773
04013,35001,22868,22887,45755
08031,22051,22764,22927,45691
12095,47037,22888,22799,45687
40109,48439,22657,22988,45645
06067,32003,22742,22695,45437
37119,42003,22763,22620,45383
06081,49035,22809,22509,45318
09003,13063,22555,22181,44736
48141,48439,23235,21441,44676
12071,37119,22123,22455,44578
12057,12086,21516,22735,44251
06081,12086,22611,21552,44163
09003,37119,21824,21805,43629
22051,36081,21171,22413,43584
40143,48439,21760,21752,43512
04013,48113,21495,21935,43430
06059,06067,21487,21783,43270
12031,37119,21811,21432,43243
37119,51087,21048,22186,43234
12071,24003,21807,21301,43108
41051,49035,21654,21443,43097
08031,12086,21180,21884,43064
12071,36081,20794,21975,42769
13063,37081,21196,21547,42743
12095,37183,21468,21247,42715
12095,29189,21526,21127,42653
12011,12057,20986,21555,42541
26163,37119,21449,21029,42478
06059,17031,21480,20903,42383
08031,19155,20727,21524,42251
06065,53033,20861,21364,42225
06081,27053,20524,21668,42192
36081,48453,21053,21004,42057
06037,47037,22031,19844,41875
32003,48113,20660,21027,41687
22051,37119,20483,21010,41493
32003,37119,20527,20937,41464
12095,42003,19710,21735,41445
06059,32003,20569,20794,41363
47037,48201,20652,20471,41123
12011,12095,21264,19851,41115
35001,48439,20544,20441,40985
04013,48029,20354,20498,40852
29165,48439,20534,20307,40841
48061,48201,20110,20581,40691
09003,17031,21379,19274,40653
06073,36081,20735,19885,40620
37119,45019,20458,20123,40581
48201,49035,19998,20414,40412
12086,27053,20041,20367,40408
24003,32003,20882,19449,40331
06081,42101,20113,20155,40268
06067,06071,20215,19706,39921
17031,48113,19815,19800,39615
08031,48029,19070,20525,39595
36029,36081,19910,19610,39520
12095,18097,19185,20173,39358
17031,41051,19856,19424,39280
32003,48453,19635,19479,39114
17031,48029,19269,19823,39092
06073,41051,19535,19501,39036
26163,48201,19654,19360,39014
26163,53033,19984,18989,38973
06037,24003,19293,19634,38927
06001,06071,20162,18683,38845
06001,49035,18898,19679,38577
04013,29165,19022,19543,38565
24003,26163,18453,19967,38420
06071,48439,18789,19523,38312
27053,37119,20181,17875,38056
27053,49035,19249,18762,38011
08031,18097,19084,18860,37944
06073,27053,18608,19321,37929
22051,48113,19203,18603,37806
48201,53033,19032,18746,37778
37119,51710,18548,19166,37714
06081,48453,19090,18527,37617
12031,36081,18527,19034,37561
11001,12057,18648,18884,37532
04019,06037,19405,18097,37502
06067,48439,18704,18757,37461
12071,42101,18458,18994,37452
04019,08031,18294,19097,37391
04013,19155,18387,18988,37375
11001,12011,18406,18944,37350
12095,39035,18106,19202,37308
13063,26081,18460,18829,37289
48201,48329,18451,18817,37268
04013,12095,19741,17408,37149
06001,41051,19168,17887,37055
12095,22051,19110,17799,36909
25025,37183,18718,18106,36824
01089,13063,18355,18314,36669
11001,27053,17991,18554,36545
04013,29189,17617,18916,36533
25025,48201,18107,18074,36181
12031,17031,17460,18705,36165
34013,37183,18498,17577,36075
26163,47037,18085,17930,36015
40143,48201,18079,17935,36014
12095,39049,18303,17616,35919
06037,11001,18483,17240,35723
29165,48201,17806,17887,35693
11001,26163,17402,18205,35607
12095,48113,17736,17703,35439
05119,13063,17544,17747,35291
17031,19153,17626,17463,35089
37119,51107,17630,17451,35081
29189,48201,17650,17416,35066
12095,36029,17115,17942,35057
09003,12011,17761,17245,35006
41051,48439,17584,17306,34890
37183,48439,17614,17271,34885
26163,42101,17420,17357,34777
25025,32003,17888,16816,34704
06037,29165,17603,17040,34643
06065,06081,17524,17012,34536
12071,48439,17133,17195,34328
06067,41051,16725,17472,34197
08031,39035,16432,17763,34195
08031,16001,16806,17337,34143
18097,48439,17370,16721,34091
27053,48201,17513,16575,34088
12095,49035,17148,16877,34025
06073,34013,16961,17060,34021
29189,32003,17691,16277,33968
06081,37119,17639,16305,33944
04013,32031,17116,16635,33751
08031,40109,16665,17067,33732
12095,32003,16625,17019,33644
13063,45063,16927,16697,33624
25025,53033,16955,16559,33514
29165,48113,16172,16992,33164
12057,32003,17001,16141,33142
04013,55079,15853,17237,33090
36081,39035,16337,16709,33046
13063,47009,16541,16465,33006
08031,11001,16274,16515,32789
12005,13063,16160,16603,32763
26163,49035,16754,15996,32750
12095,55079,15911,16813,32724
12011,22051,16603,16114,32717
42101,47037,16500,16183,32683
37119,37129,16285,16377,32662
17031,21111,16767,15862,32629
25025,47037,17000,15475,32475
26163,34013,16400,16042,32442
12011,47037,16068,16326,32394
13063,28121,16279,16051,32330
18097,37119,16162,16154,32316
06081,26163,15961,16316,32277
04013,25025,16105,16166,32271
13063,19155,15917,16204,32121
06059,48201,16323,15651,31974
08031,37183,15946,15926,31872
29165,32003,16055,15796,31851
06037,48029,15532,16130,31662
08031,35001,16317,15286,31603
37119,48029,15751,15684,31435
47157,48439,15390,16026,31416
17031,55025,15812,15526,31338
06085,49035,14998,16075,31073
29189,36081,15347,15708,31055
32003,48029,15084,15840,30924
12127,13063,15432,15421,30853
13051,37119,15062,15744,30806
08031,21015,15586,15118,30704
13063,47065,15038,15519,30557
08031,55079,15056,15452,30508
48141,48201,16111,14394,30505
05007,48439,15028,15365,30393
27053,29189,14927,15411,30338
12086,26163,14971,15309,30280
12099,36119,15008,15135,30143
27053,41051,15364,14758,30122
27053,55079,14575,15498,30073
22051,34013,14578,15494,30072
09003,12057,15192,14871,30063
12099,42101,14842,15187,30029
36081,42003,14880,14821,29701
06001,08031,13877,15803,29680
11001,47037,14118,15499,29617
12095,21015,14612,14934,29546
29189,48113,14900,14637,29537
48201,51107,14579,14883,29462
06085,48439,14704,14629,29333
04013,24003,14896,14419,29315
24003,48439,14616,14571,29187
06067,49035,14008,15160,29168
17031,36029,14176,14974,29150
35001,48201,14967,14171,29138
37119,39035,14401,14730,29131
47037,48113,14626,14483,29109
53021,53033,14718,14378,29096
12091,13063,14198,14834,29032
36055,36081,14830,14153,28983
17031,36001,13902,15054,28956
08041,48439,14665,14200,28865
06081,12095,14363,14473,28836
12071,39035,14030,14805,28835
04013,12057,15765,12942,28707
11001,29189,14645,14032,28677
12011,32003,14606,14034,28640
06059,13063,14082,14326,28408
13063,40109,14189,14216,28405
24003,47037,13910,14487,28397
12095,36103,13583,14690,28273
12011,27053,14442,13820,28262
24003,37183,13992,14243,28235
13063,21067,14171,13982,28153
06037,29189,13875,14221,28096
37119,45051,14227,13865,28092
32003,39035,13831,14156,27987
12095,48453,14303,13668,27971
08031,32031,14124,13831,27955
06073,48113,13853,14060,27913
13063,41051,13967,13862,27829
12073,13063,13910,13911,27821
12009,13063,13997,13809,27806
06059,41051,14335,13444,27779
37119,48453,14573,13128,27701
04013,04019,13653,14026,27679
12095,36001,13565,14112,27677
06073,37119,14469,13190,27659
37119,47157,14111,13527,27638
48439,51107,13745,13812,27557
24003,33015,13458,14073,27531
12031,48439,13493,13851,27344
29189,37119,13416,13847,27263
06065,08031,13022,14115,27137
42101,48201,13598,13457,27055
12071,55079,13289,13736,27025
04013,48141,13523,13478,27001
06059,49035,13373,13586,26959
32003,42101,13871,13054,26925
12057,47037,12907,14015,26922
16001,49035,13560,13320,26880
08031,40143,13648,13189,26837
12086,32003,13369,13454,26823
12099,24003,13105,13626,26731
34013,53033,13435,13220,26655
37119,45083,13267,13387,26654
08031,53063,13348,13160,26508
24003,36001,12437,14032,26469
04019,17031,13178,13289,26467
04013,11001,12640,13644,26284
27053,29165,13463,12778,26241
37183,42101,12754,13473,26227
32003,47037,12809,13356,26165
04013,19153,12931,13146,26077
12087,13063,13313,12735,26048
36081,45019,12966,13040,26006
24003,48113,13173,12740,25913
37081,37119,13180,12569,25749
04013,18097,12779,12908,25687
06065,17031,12434,13235,25669
37119,39049,12697,12961,25658
09003,24003,13345,12303,25648
12095,29165,12920,12724,25644
05119,48439,12666,12929,25595
34013,47037,12760,12827,25587
25025,42003,12887,12700,25587
47157,48201,12220,13326,25546
36081,39049,12854,12612,25466
13063,13245,12575,12870,25445
12071,18097,12369,13049,25418
12086,22051,12814,12496,25310
20173,48439,12518,12781,25299
12011,34001,12430,12861,25291
48201,48355,12585,12698,25283
12099,36103,12458,12801,25259
24003,27053,12826,12390,25216
11001,44003,12760,12406,25166
04013,12086,12954,12201,25155
35001,48113,12332,12725,25057
36081,48113,12416,12618,25034
04013,47037,12287,12742,25029
32003,55079,12321,12655,24976
25025,51107,12946,11981,24927
26163,29189,12694,12200,24894
27053,42101,11977,12892,24869
21015,37119,12236,12600,24836
06085,13063,12321,12501,24822
06067,13063,13051,11716,24767
22051,47037,12113,12651,24764
17031,36067,11474,13246,24720
08031,42003,12095,12614,24709
12011,39035,12141,12512,24653
13063,36029,12380,12211,24591
17031,55079,11701,12881,24582
27053,34013,12064,12388,24452
06071,08031,12479,11835,24314
12095,53033,12013,12281,24294
13063,39113,12000,12289,24289
27053,38017,11892,12375,24267
48215,48439,12348,11908,24256
51107,53033,12104,12108,24212
11001,22051,12865,11255,24120
12057,42003,11839,12259,24098
06081,12011,12214,11878,24092
24003,44003,11459,12627,24086
06065,48439,12395,11622,24017
11001,48113,11806,12203,24009
42003,48201,12490,11491,23981
25025,49035,12279,11700,23979
19155,48439,12357,11616,23973
21015,48439,12022,11785,23807
37119,44003,11308,12456,23764
17031,47157,12302,11422,23724
09003,12071,12283,11320,23603
12011,44003,11337,12170,23507
12011,12031,11766,11723,23489
34013,48453,11599,11799,23398
36081,50007,10856,12533,23389
48201,48215,11290,12058,23348
12001,13063,11841,11498,23339
37183,48201,11604,11722,23326
48113,48303,11656,11627,23283
12057,51107,11461,11820,23281
06037,35001,11768,11509,23277
37119,42043,11466,11789,23255
08031,30031,11949,11261,23210
06037,39035,11957,11209,23166
39049,48439,11701,11365,23066
26081,26163,11620,11343,22963
41051,53063,11282,11598,22880
22051,26163,11220,11546,22766
12057,22051,12074,10660,22734
08031,39049,10963,11727,22690
04013,16001,11323,11344,22667
12099,17031,11174,11484,22658
09003,11001,11461,11178,22639
37119,53033,11038,11546,22584
17031,51107,10679,11814,22493
12011,37183,11085,11388,22473
06073,48453,11852,10498,22350
12011,48113,11397,10949,22346
29165,37119,11239,11047,22286
12011,36029,10523,11757,22280
12057,39049,10851,11333,22184
19155,48201,10906,11274,22180
11001,37183,10991,11157,22148
12057,37183,11037,11098,22135
16001,41051,11202,10928,22130
12099,48439,11145,10931,22076
13051,36081,10854,11217,22071
06085,48453,11059,10922,21981
34013,51107,10712,11263,21975
06071,06085,10857,11082,21939
18097,32003,11026,10824,21850
12086,24003,10950,10888,21838
32003,39049,10876,10936,21812
01073,48201,10581,11228,21809
27053,46099,10836,10966,21802
32003,35001,11032,10761,21793
32031,49035,10572,11191,21763
08031,08041,11063,10628,21691
21111,37119,11087,10525,21612
06071,32003,11184,10392,21576
37183,47037,11481,10080,21561
06085,17031,10533,10950,21483
32003,51107,10774,10700,21474
17031,45019,10856,10617,21473
12071,39049,10546,10879,21425
05007,13063,10579,10837,21416
06073,25025,10629,10757,21386
29189,42101,10282,11009,21291
29189,34013,10801,10412,21213
12086,37183,10511,10695,21206
12095,34001,10353,10823,21176
26163,55079,10897,10250,21147
06073,24003,10067,11003,21070
08031,19153,10450,10596,21046
21015,36081,10656,10366,21022
24003,36029,10560,10406,20966
12095,33015,9954,10968,20922
17031,36055,9755,11153,20908
22051,24003,10117,10791,20908
26163,29165,10831,10068,20899
48329,48439,10477,10399,20876
12011,51107,10668,10180,20848
13063,36055,10158,10620,20778
04019,32003,10582,10161,20743
12031,24003,10037,10662,20699
12086,47037,10300,10369,20669
06067,17031,10043,10614,20657
12095,51087,10257,10337,20594
12011,39049,10017,10425,20442
21015,32003,10418,10019,20437
27053,47037,10289,10040,20329
12071,29189,10117,10188,20305
48303,48439,9859,10432,20291
17031,19113,10085,10156,20241
36067,36081,10156,10082,20238
41017,53033,10253,9952,20205
12071,48201,10349,9844,20193
04013,42003,10138,10036,20174
19153,48439,10174,9971,20145
04019,53033,9933,10179,20112
11001,39049,10241,9862,20103
12031,48201,10132,9962,20094
34013,42003,10522,9553,20075
48113,48141,9888,10099,19987
12011,29165,10106,9854,19960
08031,08097,10115,9818,19933
17031,44003,9998,9927,19925
37119,45063,10162,9735,19897
12086,48453,9632,10250,19882
42101,44003,9589,10290,19879
21111,48439,9865,10000,19865
13063,36067,10148,9711,19859
12031,25025,9472,10303,19775
04013,53063,10029,9703,19732
36029,37119,10110,9565,19675
04013,06065,9673,10000,19673
37119,51003,9720,9931,19651
39035,48201,10327,9282,19609
12031,26163,9369,10220,19589
42003,48439,9885,9675,19560
04013,39049,9557,9941,19498
18097,48201,9994,9419,19413
06065,41051,9496,9897,19393
48113,48329,9658,9719,19377
13063,36001,9848,9466,19314
12057,36029,9200,10112,19312
08031,55025,9300,9994,19294
04013,39035,9610,9638,19248
04019,48201,10010,9178,19188
12033,48439,9734,9449,19183
11001,45019,9756,9426,19182
01097,13063,9452,9724,19176
12081,37119,9696,9462,19158
39049,48201,9868,9290,19158
36081,41051,8885,10174,19059
39035,48439,9880,9179,19059
12091,48439,9329,9672,19001
29165,29189,9701,9288,18989
17031,39113,9652,9315,18967
13063,40143,9403,9544,18947
12011,18097,9415,9506,18921
09003,51107,9793,9095,18888
23005,42101,9366,9478,18844
13063,22033,9496,9343,18839
22051,48453,9323,9488,18811
27053,55025,8888,9865,18753
17031,55009,9232,9516,18748
42003,42101,9150,9556,18706
13063,55025,9472,9169,18641
06019,06037,9733,8889,18622
12033,48201,9044,9559,18603
06073,51107,9317,9272,18589
12011,36103,9131,9417,18548
17031,51710,9228,9303,18531
26081,27053,9643,8878,18521
