t,x,y
4.430137,1049.7244,303.8736
4.442408,1046.5396,298.8391
4.454680,1043.2406,293.8787
4.466952,1039.8218,288.9999
4.479224,1036.2877,284.2042
4.491496,1032.6463,279.4893
4.503768,1028.8943,274.8620
4.516039,1025.0343,270.3243
4.528311,1021.0761,265.8721
4.540583,1017.0162,261.5124
4.552855,1012.8590,257.2454
4.565127,1008.6138,253.0659
4.577399,1004.2746,248.9840
4.589671,999.8516,244.9932
4.601942,995.3493,241.0920
4.614214,990.7629,237.2899
4.626486,986.1064,233.5742
4.638758,981.3744,229.9550
4.651030,976.5758,226.4247
4.663302,971.7120,222.9846
4.675573,966.4141,220.2779
4.687845,961.0171,217.7555
4.700117,955.5783,215.3244
4.712389,950.0986,212.9868
4.724661,944.5790,210.7452
4.736933,939.0199,208.6034
4.749205,933.4232,206.5619
4.761476,927.7902,204.6228
4.773748,922.1224,202.7879
4.786020,916.4214,201.0591
4.798292,910.6887,199.4382
4.810564,904.9263,197.9268
4.822836,899.1358,196.5263
4.835107,893.3189,195.2400
4.847379,887.4777,194.0693
4.859651,881.6147,193.0133
4.871923,875.7320,192.0730
4.884195,869.8318,191.2492
4.896467,863.9165,190.5424
4.908739,857.9883,189.9538
4.921010,852.0492,189.4863
4.933282,846.1021,189.1366
4.945554,840.1493,188.9044
4.957826,834.1930,188.7895
4.970098,828.2357,188.7915
4.982370,822.2794,188.9098
4.994641,816.3267,189.1463
5.006913,810.3797,189.4979
5.019185,804.4405,189.9626
5.031457,798.5111,190.5394
5.043729,792.5935,191.2267
5.056001,786.6896,192.0232
5.068273,780.8011,192.9271
5.080544,774.9299,193.9367
5.092816,769.0775,195.0504
5.105088,763.2456,196.2671
5.117360,757.4356,197.5842
5.129632,751.7168,199.2352
5.141904,746.0830,201.1719
5.154175,740.4835,203.2057
5.166447,734.9217,205.3406
5.178719,729.4009,207.5792
5.190991,723.9224,209.9192
5.203263,718.4901,212.3648
5.215535,713.1076,214.9180
5.227807,707.7759,217.5758
5.240078,702.5013,220.3450
5.252350,697.2844,223.2216
5.264622,692.1295,226.2078
5.276894,687.0406,229.3051
5.289166,682.0191,232.5105
5.301438,677.0714,235.8288
5.313709,672.1968,239.2534
5.325981,667.4035,242.7910
5.338253,662.6890,246.4328
5.350525,658.0625,250.1860
5.362797,653.5205,254.0409
5.375069,649.0725,258.0039
5.387341,644.7143,262.0655
5.399612,640.4553,266.2309
5.411884,636.2907,270.4908
5.424156,632.2296,274.8494
5.436428,628.2667,279.2974
5.448700,624.4107,283.8385
5.460972,620.6554,288.4632
5.473243,617.0099,293.1750
5.485515,613.4669,297.9643
5.497787,610.0345,302.8335
5.510059,606.7065,307.7746
5.522331,603.4089,311.5893
5.534603,599.6020,307.0067
5.546875,595.7600,302.4537
5.559146,591.8800,297.9329
5.571418,587.9633,293.4440
5.583690,584.0055,288.9911
5.595962,580.0083,284.5737
5.608234,575.9676,280.1959
5.620506,571.8838,275.8585
5.632777,567.7550,271.5637
5.645049,563.5781,267.3159
5.657321,559.3528,263.1160
5.669593,555.0773,258.9674
5.681865,550.7493,254.8735
5.694137,546.3663,250.8385
5.706409,541.9266,246.8661
5.718680,537.4283,242.9602
5.730952,532.8691,239.1255
5.743224,528.2464,235.3677
5.755496,523.5576,231.6926
5.767768,518.8010,228.1057
5.780040,513.9745,224.6136
5.792311,509.0750,221.2246
5.804583,504.0999,217.9476
5.816855,499.0483,214.7898
5.829127,493.9169,211.7637
5.841399,488.7046,208.8789
5.853671,483.4592,206.0568
5.865943,478.2606,203.1473
5.878214,473.0063,200.3397
5.890486,467.6967,197.6380
5.902758,462.3313,195.0490
5.915030,456.9128,192.5732
5.927302,451.4424,190.2141
5.939574,445.9218,187.9752
5.951845,440.3527,185.8598
5.964117,434.7352,183.8763
5.976389,429.0732,182.0241
5.988661,423.3692,180.3051
6.000933,417.6261,178.7220
6.013205,411.8448,177.2844
6.025477,406.0301,175.9886
6.037748,400.1854,174.8359
6.050020,394.3133,173.8319
6.062292,388.4174,172.9788
6.074564,382.5020,172.2732
6.086836,376.5707,171.7173
6.099108,370.6268,171.3172
6.111379,364.6748,171.0659
6.123651,358.7184,170.9629
6.135923,352.7613,171.0152
6.148195,346.8073,171.2151
6.160467,340.8600,171.5603
6.172739,334.9230,172.0524
6.185011,329.0000,172.6906
6.197282,323.0937,173.4683
6.209554,317.2070,174.3830
6.221826,311.3432,175.4348
6.234098,305.5052,176.6214
6.246370,299.6948,177.9364
6.258642,293.9142,179.3766
6.270913,288.1653,180.9389
